dialect	standard
어머이 혼자 앙 그리커써요	어머니 혼자 안 그렇겠어요
망내딸 하나럴	막내딸 하나를
어디루 내놔야 조우까 시꾸	어디로 내 놔야 좋을까 싶고
머 그냉 이래 저래 생가카다가	뭐 그냥 이래 저래 생각하다가
영상 김씨는 이 지비 여기 영상 낌씨내 양바니라고	용산 김씨는 이 집이 여기 용산 김씨네가 양반이라고
그 인재 우리넌 금넝 낌씨구	그 이제 우리는 금릉 김씨고
여기넌 인재 영동 영동 영상 낌씨라카더라고요	여기는 이제 영동 영동 용산김씨라고 하더라고요
그래서 인재 그래서 인재 버넌 달라도 인재 이르캐 깅간 깅가찌리 와써요	그래서 이제 그래서 이제 본은 달라도 이제 이렇게 김가는 김가끼리 왔어요
오긴 완넌대	오긴 왔는데
그래 인재 옌나래 인재 참 그래 와 가주 이래 사는대	그래 이제 옛날에 이제그렇게 와 가지고 이렇게 사는데
자기 이 지배 사넌 사라미 저한태 장 아씬님 아씬님 이르카더라고요	저기이 집에 사는 사람이 저한테 장 아씨님 아씨님 이러케 하더라고요
처매 와가선	처음에 와 가지고는
그르캐 사라 여가 여기 양반터라구요	그렇게 살아 여기가 여기 양반터라고요
양반싸람 터라구	양반사람 터라고
그러면 모콰 모카 모캐라구 하지요	그러면 목화 목화 모과라고 하지요
근대 그개 씨 암 뺑 거를 얘기하능 겅가요	그런데 그게 씨 안 뺀 것을 얘기하는 건가요
모콰	목화
목 씨 암 뺑 건 모콰고요	예 목 씨 안 뺀 건 목화고요
모콰넌 씨 암 뺑 거	목화는 씨 안 뺀 것
씨 빼면 인재	씨 빼면 이제
씨 뺑 거넌 명송이	씨 뺀 거는 목화송이
명송이	목화송이
탕 거	예 탄 거
이르캐 타자나요	이렇게 타잔하요
그러먼 솜하고 명송이하고는 어트개	그러면 솜하고 목화송이하고는 어떻게
솜하고	솜하고
명송이가	목화송이가
인재 탕 건 소미지 탕 건	이제 탄 건 솜이지 탄 것은
탕 건 소미고	에 탄 건 솜이고
인재 그 씨 암 빵 건 송이 송이지	그 씨 안 뺀 건 송이 송이지
명송이	목화송이
인재 그 다래애서 뺑 개 명쏭이지요	그 다래에서 뺀 게 목화송이지요
다래애서 뺑 개	다래에서 뺀 게
씨 씨 씨가 인능 거	아 씨 씨 씨가 있는 것
씨 드러 가주	예 씨 들어 가지고
조웅 거 인재 고기 명송이고	예 좋은 거 이제 그게 목화송이고
씨 드 씨가 들고	씨 들 씨가 들고
고 재 고고 명 이캐 뺑 개 고 명송이지요	그 이제 고고 미영 이렇게 뺀 게 목화송이지요
뺑 기	뺀 게
씨 뺑거	씨 뺀 거
씨 빼 가주 탕 거	씨 빼 가지고 탄 거
탕 거는 소미라고 마라지	탄 거는 솜이라고 말하지
소미고	솜이고
건 토미고	그건 솜이고
인재 거그 다래애서 이르캐 피 가주구서 명이 요래 나오자나요	이제 거기 다래에서 이렇게 피어 가지고 목화가 이렇게 나오잖아요
고기 명송이지	그게 목화송이지
그개 그개 그러먼 목 모콰라고 해요 그거	그게 그게 그러면 목 목화라고해요 그걸
그개 인재 옌나래넌 그기 미영이라구 핸넌대	예 그게 이제 옛날에는 그게 미영이라고 했는데
모콰라고 그라지요 그기	목화라고 그러지요 그게
그기 옌나래 미영 쫑이니 이라고	그게 옛날에 명송이라고
예기 모콰라 하대요 지그먼	이걸 목화라고 하데요 지금은
그러면 월래 모카가 이르캐 큰 나무자나요	그러면 원래 목화가 이렇게 큰 나무잖아요
이캐	이렇게
그 그걸 모콰라고 하고	그 그걸 목화라고 하고
목 나개 에 모콰나무	예 목나개 에 목화나무
거기애 달링 걸 명이라고 하고	거기에 달린 걸 명이라고 하고
그걸로 저기 시를 뽀부면 그 시른 무순 시리라 그래요	그걸로 저기 실을 뽑으면 그 실은 무슨 실이라고 그래요
씨는 장 그 있어	씨는 장 거기 있어
실 씰	실 실
시른 인재 그기	실은 이제
시른 인재 무명시리구	실은 이제 무명실이고
명 명시리지요 머 인재	명 명실이지요 뭐 이제
명실 무명실	명실 무명실
무명시리지요	예 무명실이지요
무명시리라 구라지 머	무명실이라 그러지 뭐
근대 그기 물래루 자사 가주구	그런데 그게 물레로 자아 가지고
여 이르캐 여매 여 구깨가 요마나먼 빼내거든녀	여 이렇게 요만 여 굵기가 요만하면 빼내거든요
거 가락개다가 끼머 가주구	그 가락에다가 끼워 가지고
그거 인재 그래 그기 가라기라고 고래서	그거 이제 그래 그게 가락이라고 그래서
그기 그이 하넌 그거 아실껄머	그게 그이 하는 그거 아실 걸 뭐
몰라	몰라
아시능가	아시는가
우리 큰딸도 그건 몰르껀대	우리 큰달도 그건 모를건데
에 그기 나트리라구 이써요	에 그게 날틀이라고 있어요
나틀	날틀
나트리 열 깨가 이써요	날틀이 열 개가 있어요
요 구멍이	요 구멍이
요로 이르캐 나트리라고	요롷 이렇게 날틀이라고
요로키 요만창 노풍 기	오렇게 요만큼 높은 게
기리기가 요 요만 함 발 댈랑가 모르거써	길이가 요 요만 한 발 되려나 모르겠
그 베럴 맬라고	그 베를 매려고
나능걸 날트리라 그래여	나는 것은 날틀이라
고골 인재 고초럴 자사 가주구	예 그걸 이제 고치를 자아 가지고
명 가라기라 그르구 열깨를 만드러 가주구	명 가락이라고 그 열 개를 만들어가지고
고 나트래다가	그 날틀에다가
그거럴 인재 한 하낙쓱 끼어 요래	그거를 이제 한 하나씩 끼워 이렇게
빼 가주구	빼 가지고
머 열깨럴	뭐 열 개를
열깨럴 빼 가주구	열 개를 빼 가지고
나 인재 날지요	날 이제 날지요
나능 거시 인재 열 깨럴 줄 줄 뽀바 이르캐 다마놔요	나는 것이 이제 열 개를줄 줄 뽑아 이렇게 담아놔요
열 깨럴 다	열 개를 다
그러먼 인재 가라기 풀리먼 또 하낙 낑꼬	그러면 이제 가락이 풀리면 또 하나끼우고
또 또 하다가 또 다릉 기 또 머니 떠러지먼 그거 또 하나 낑꼬	또 하다가 또다른 게 또 먼저 떨어지면 그것도 또 하나 끼우고
그래 가주구서루 인재 가래럴 메 까래럴 맨드느냐 하먼	그래가지고서 이제 가래를 몇 가래를 만드느냐 하면
그걸루 베럴 이 나라요	그걸로 베를 이렇게 날아요
베 나능거슨 머 암 보시쓸 꺼여	베 나는 것은 뭐 안 보셨을 거야
그러먼 인재 머럴 뱅느냐 하먼	그러면 이제 뭐를 박느냐 하면
그거럴 네 개럴 바가요	그것을 네 개를 박아요
네 개럴	네 개를
이 고쟁이 요마 요마 요망쿰 킁 거럴 네 개럴 바가요	이 꼬창이 요만 요만 요만큼 큰 것을 네 개를 박아요
요기넌 개세고	여기는 개새고
요긴 참새거든뇨	요기는 참새거든요
고로캐 해요	그렇게 해요
그래 가주구서 베럴 인재	그래 가지고 베를 이제
개 개새	개새
개새 참새 이써요 이르캐	개새 참새 있어요 이렇게
요 개새 요기 참샌대 요 개새라 배럴 베뿌럴롸요	요 개새 요기가 참새인데요 개새라 베를 벳불을 놔요
베뿌럴	벳불을
베뿌럴 인재 노만	벳불을 이제 놓으면
그 이캐 가르캐 뺑 거 차곡차곡 항 거럴 그거럴 가따가 인재 쌀마요	그 이렇게 가래 이렇게 뺀 거 차곡차곡 한 것을 그것을 갖다가 이제 삶아요
그거럴	그거를
인재 며때서 인재 이캐 해 가주구서	이제  이제 이렇게 해 가지고
그거 인재 해서	그거 이제 해서
이캐 사 끄 저기 푸럴 메기요	이렇게 사 그 저기 풀을 먹여요
푸럴	풀을
푸럴 이걸 가따가 가래 뽀바 농 거럴	풀을 이걸 갖다가 가래 뽑아 놓은 것을
도투마리라고 이써요 이르캐	도투마리라고 있어요 이렇게
도투 두 개	도투마리 두 개
이캐 말모걸 이르캐 두 개 바가 노코	이렇게 말목을 이렇게 두 개 박아 놓고
도투마리를 여기다 이르캐 탕 노쿠서루	도투마리를 여기다 이렇게 탁 놓고서
이기 인재 안 땡기 가드축	이게 안 당겨 가도록
말모걸 바가야 대자나요	말목을 박아야 되잖아요
그래서 여기 도투마리라구 노쿠서	그래서 여기 도투마리라고 놓고서
가따가 인재 그거 열 깨	갖다가 이제 그거 열 개
그 가락 이르캐 뺑 거럴 인재 나라요	그 가락 이렇게 뺀 것을 이제 날아요
요기 요기 여기 참새라고 인재 요짜개 요로캐 요로캐 해 노코	요기 요기 여기참새라고 이제 이쪽에 이렇게 이렇게 해 놓고
요기 또 욜루 와 가주구	여기도 또 요리 와 가지고
욜루 가구 욜루 욜루 이르캐 가요	요리 가고 요리 요리 이렇게 가요
요래 요래 맨드라서 노만	요렇게 요렇게 만들어서 놓으면
그 기 개새 참새라고 해요	그게 개새 참새라고 해요
그거럴	그거를
이개 멀로 하너냐 하먼 꼬쟁이럴 이르캐 난 그기 이써요	이게 뭘로 하느냐하면 꼬챙이를 이렇게 나는 그게 있어요
두 개	두 개
두 개버 이르캐 두 개쓱 떼능 기요	두 개 이렇게 두 개씩 빼는 게요
그라먼 인재 두 개럴 요 사이럴 요로캐 인재 저기 저기 머여	그러면 이제 두개를 요 사이를 이렇게 이제 저기 저기 뭐야
그링깨 가이패로 이르캐 맨들거던녀 저 가이패로	그러니까 가위표로 이렇게만들거든요 저 가위표로
요기두 요로캐 가이패 요기도 요로캐 가이패 맨드라 가주구	여기도 이렇게 가위표 여기도 요렇게 가위표 만들어 가지고
고기따 요로캐 끼머요	거기다 이렇게 끼워요
고고럴 이캐	그거를 이렇게
마라자먼 인재 이개 이르캐 이르캐 이르캐 생깅 걸	말하자면 이제 이게 이렇게 이렇게 이렇게 생긴 걸
여기다 이르캐 인재	여기다 이렇게 이제
짬매뜨라고요	동여맸더라고요
이르캐	이렇게
그기 짬매 가주구 이기 요동 모타개 인재 해 노코넌	그게 동여매 가지고 이게요동을 못 하게 해 놓고는
거기다가	거기다가
머냐하먼 인재 바디라고 이써요	뭐냐 하면 이제 바디라고 있어요
바디	바디
바디럴 인재 그거시 인넌대	바디를 이제 그것이 있는데
고걸 다 끼야 대요	그걸 다 꿰야 돼요
구멍 하나애다가 다 끼워 가주구	구멍 하나에다가 다 끼워 가지고
예 하나하나 다 끼 가주구	예 하나하나 다 꿰 가지고
그거뚜 이저뻐린내	그것도 잊어버렸네
그거 이기 머 잉애 잉애	그게 이게 뭐 잉앗대 잉앗대
잉애	앵앗대
잉애 잉애 잉애때럴 인재 거기다 꼬꾸	잉아 잉아 잉앗대를 이제 거기다꽂고
잉애때가 두 개가 되거던녀	잉앗대가 두 개가 되거든요
그라만 잉애때럴 꼬꾸서	그러면 잉앗대를 꽂고서
고기다가 인재 그 열 까다기거던녀 고기	거기다가 이제 그 열 가닥이거든요고게
열 까당 열까당 나릉 걸 인재 다 끼구	열 가닥 난 걸 다 끼우고
요래 메 뻐늘 거기 가꺼든녀	요래 몇 번을 거기 갔거든요
고기 이르캐	거기 이렇게
그기 참 나라서 이르캐 해 노먼	그게 차 날아서 이렇게 해 놓으면
다쌔 베 여덜쌔 베 머 일곱쌔 베 아홉쌔 베	다섯새 베 여덟새 베 뭐 일곱새베 아홉새 베
이르캐 가따가 이르개 노머	이렇게 갖다가 이렇게 놓으면
그걸 나라 노먼	그걸 날아 놓으면
그거 인지 그기 고 구멍구멍 다 끼지요 인재 고고럴	그거 이제 그게 고 구멍구멍 다 꿰지요 이제 고것을
고고 인재 고곰 마 바디애다 대	고거 이제 고거 바디에다 대
여기 참새 개새 참새가 인넌대 고고럴 따지 가주구서 나릉 걸 따지서 고기 끼우먼 땅 마자요	여기 참새 개새 참새가 있는데 그거를 따져 가지고 난 걸 따져서 고기 끼우면 딱 맞아요
여기 저기 바디라고 이써요 고개 저개 명 고 끼능 거	여기 저기 바디라고 있어요 그게 저기 목화 그 끼우는 거
고거시 인재	그것이 이제
고기다 끼 가주구 인재 매능 기	거기다 꿰 가지고 이제 매는 게
인재 고거시 매넝 기 머냐 하먼	예 그것이 이제 매는 게 뭐냐 하면
부럴 롸 가주구 푸를 끄리 가주구서 인재 거기다 발라요	불을 놓아 가지고 풀을 끓여 가지고 거기에다 발라요
죽 까따가 저기 여기넌 그거럴 머라고 고라지	죽 갖다가 저기 여기는 그그것을 뭐라고 그러지
그기 머 그기 머라고라지	그게 뭐 그게 뭐라고 그러지
끄씽개지 머	끄싱개지 뭐
여기 이르캐 끄싱갱가	여기 이렇게 끄싱개가
그거	그거
끄싱개라구 돌맹일 가따 노쿠 인재	끄싱개라고 돌맹이를 갖다 놓고
거기다가 돌맹이럴 눌러 놔야지 이기 짝 요러캐 가주구 굴런	거기에다가 돌맹이를 눌러 놔야지 이게 쫙 이렇게 가지고 굴러
그래가주 이래 이래 푸럴 미기 가주 그기 저기 소리라구 이써요 솔	그래가지고 이렇게 이렇게 풀을 먹여 가지고 그게 저기 솔이라고 있어요 솔
베매는 솔 거 아실껀대 왜	베 매는 솔 그 아실건데 왜
그걸루 그래 매 이르캐 기냥 하미 풀 발라 가주	그걸로 그래 매 이렇게 그냥하면서 풀 발라 가지고
이래 이래 매구 인재 엉가이 말르먼	이렇게 이렇게 매고 이제 언간히 말르면
거 개새 참새 그 두 개럴 가따가 인재 저기서 이래 이래 훌꾸	그 개새 참새그 두 개를 갖다가 이제 저기서 이렇게 이렇게 훑고
여기도 이르캐 이르캐 인재 내려오먼 인재	여기도 이렇게 이렇게 이제 내려오면 이제
이개 두잳 첟뻔째가 내리가먼 저기 짜넌대 인넝 거시 참새요 고기	이게 두개 첫번째가 내려가면 저기 짜는데 있는 것이 참새요 그게
몰라 그르캐 하드라구라 그라개	몰라 그렇게 하더라고 그렇개
그르캐 하더라고요	그렇게 하더라고요
그래서 고골루 인재 여 아패 가능 기 이르캐 이르캐 인재 그거 해서 노먼	그래서 그걸로 이제 이 앞에 가는 게 이렇게 이렇게 이제 그거 해서 놓으면
고 디애꺼 요래 요래 해 가주구 말르먼 인재 그 도투마리라구 하는디다 감짜나요 이래	그 뒤에 것 요렇게 요렇게 해 가지고 마르면 이제 그 도투라미라고 하는 데다가 감잖아요 이렇게
가마서 조꺼지 가먼 인저 또 고라고	감아서 저기까지 가면 이제 또 그러고
그래 가주 그르캐 해 노코 고기다 인재 배트리라구 해는대 고기다 디애다 언저노코 그거럴	그래 가지고 그렇게 해 놓고 고기에다 베틀이라고 하는데 거기다뒤에다 얹어 놓고 그것을
바디지비라고 해 노코 고래 그 베트리라고 이짜나요	바디집이라고 해 놓고 그렇게 그 베틀이라고 있잖아요
고기다 노코 그래 짜지요 베럴	거기다 놓고 그렇게 짜지요 베를
그렁 건 다 하시쓸 껄 머	그런 건 다 하셨을 걸 뭐
저는 본저근 인는대 어릴 때 바 가주구 잘 몰라요	저는 본 적은 있는데 어릴때 봐 가지고 잘 몰라요
그거뚜	그것도
그거 모르다가 말쓰마시능 걸 가마니 드르니까 옌날생가기 쪼꼼씩 나요	그거모르다가 말씀하시는 걸 가만히 들으니까 옛날 생각이 조금씩 나요
나지요	나지요
요기다 노쿠서 요로캐 요로캐 항 거뚜 생강나구	할머니가 거기다 놓고서 이렇게 한 것도 생각나고
그 삼 삼넝 거 삼	그 삼 삼는 거 삼
그렁 거뜨리 이캐 이르캐 얘기를 드따보니까 쪼꿈씩 생가기 나드라고요	예 그런 것들이 이렇게 이렇게 얘기를 듣다 보니까 조금씩 생각이 나더라고요
그건 사매요	그건 삼이에요
사민대 그거뚜	삼인데 그것도
그거 사먼 또 그거뚜 방애다가 우린 방애다가 그걸 쌀마 가주구 해 바써요	그  거 삼은 또 그것도 방에다가 우리는 방에다가 그걸 삶아 가지고 해 봤어요
방애다가	방에다가
에 방애다가 불 마니 때 가주구 방애다가 쌀마 가주 줌 저 마니 하덜 안하니까	에 방에다가 불 많이 때 가지고 방에다가 삶아 가지고 좀 저 많이 하지를 안하니까
마니 하넌 사람더런 막 도라무통애다가 이르캐 해 노코	많이 하는 사람들은막 드럼통에다가 이렇게 해 놓고
막 부럴 소태다 해노코 쯔더라 쯔더라고요	막 불을 솥에다 해 놓고 찌더라찌더라고요
그래 가주 삐끼넌대	그래 가지고 벗기는데
우리는 기냥 방애다가 해바써요 방애다	우리는 그냥 방에다가 해봤어요 방에다가
그걸 삼때가 크자나요	그걸 삼대가 크잖아요
엄청 크지	엄청 크지
삼때가 한 질반두 더 되	삼대가 한 길 반도 더돼
예예	예예
아이구 죄송함니다	아이고 죄송합니다
다릴 좀 뻐더야지	다리를 좀 뻗어야지
아이 갠차아요	아이 괜찮아요
펴나개 하세요	편하게 하세요
아이고 아이고 아이구 아퍼 아이구	아이고 아이고 아이구 아파 아이고
빽꼭 빼꼬카니 해 가주구 고깨 잘 커야	빼곡 빼곡하니 해 가지고 곧게 잘 커야
이 사미 조웅 조웅거시 나온다고	이 삼이 좋은 좋은 것이 나온다고
근대 이거넌 그런근데 이거는  저넌 이르키 기냥 관저리 이써 가주구	
저넌 이르키 기냥 관저리 이써 가주구	저는 이렇게 그냥 관절염이 있어 가지고
아파서	아파서
여그 가 안자써뜨니만	여기에 가 앉았었더니만
아휴	아휴
펴나개 안즈셔야 대요	편하게 앉으셔야 돼요
무룹 아프시지요	무릎 아프시지요
무루비 아파요	무릎이 아파요
퍽 아파 가주구 이 관저리	퍽 아파가지고 이 관절이
옌나래 쩌기 쪼그려 가지고 저 반 마니 매셔쬬	옛날에 저기 쪼그려 가지고 저밭 많이 매셨죠
하하하	하하하
애기두 어꾸두 매 반는대요 머	아기도 업고도 매어 봤는데요 뭐
그래니까	그러니까
그래서 무루비 그래요	그래서 무릎비 그래요
저이 어머니두	저이 어머니도
우리 두째 머스마 가를 어꾸서두 매 반는대 머	우리 둘째 머슴애 걔를 업고서도 매어 봤는데 뭐
인재 너무 부파 가주구	이제 너무 아파가지고
삼베 시물라먼 인재 그걸 머라 그래요	삼베 심으려면 이제 그걸 뭐라 그래요
그걸	그걸
삼 심능다 그러나요	삼 심는다 그러나요
사미라	삼이라
그르치 삼 심능다 하능 거지	그렇지 삼 심는다 하는 거지
사미지유 삼	삼이지요 삼
사미 삼때	삼대
사마 사미라고 하능 기여 사멀	삼이 삼이라고 하는 거야 삼을
사물	삼을
씨럴 뿌리 가주구	씨를 뿌려 가지고
예예	예
그르니깨 씸능다고 아나고 이개 씸능개 아니고 뿌리 가주구	그러니까 심는다고안 하고 이게 심는 게 아니고 뿌려 가지고
뿌리 가주 이래	뿌려 가지고 이렇게
인재 그개 크먼 그걸 삼때라구 하지요 인재 그기	이제 그게 크면 그걸 삼대라고 하지요 이제 그게
그개 대마자나요	그게 대마잖아요
대마지 대마	대마지 대마
대마	대마
대마	대마
이파링 거 대마초라고 하고	이파리는 거 대마초라고 하고
아휴 선생님 보기 죄송함니다 이래서	아휴 선생님 보기 죄송합니다 이래서
아이고 아니 갠차나요	아이고 아니 괜찮아요
근대 이짜기 좀 부숭 거 가찌요	근데 이쪽이 좀 부은 거 같지요
그러내요	그러네요
쪼꼼	조금
부서찌요	부었지요
부언내요	예 부었네요
에 파쓰럴 부치 가주구 글거서 이래요	에 파스를 붙여 가지고 긁어서 이래요
파 쩌넌 피부가 야개 가주구	파 저는 피부가 약해 가지고
파쓰럴 부치먼 막 갤구워 가주	파스를 붙이면 막 가려워 가지고
가렵쬬	가렵죠
여가 지금 부 이짝 따리가 더 아푸거던뇨	여기가 지금 부 이쪽 다리가 더아프거든요
여가 부서 부서찌요 선생님	여기가 부었 부었지요 선생님
이 부서 가주구	이 부어가지고
아파 가주구 인재 꾸부리고 이써떠니 이 이짜기 츠맨 아푸더니 이짜기 또 아푸더라고요	아파 가지고 구부리고 있었더니 이 쪽이 처음엔 아프더니 이쪽이 또아프더라고요
근대 이짜기 아푸 또 또 이르캐 아파요 이쪼기	그런데 이쪽이 아프 또 또이렇게 아파요 이쪽이
개도 이쪼기	그래도 이쪽이
사진 찌거 보션나요	사진 찍어 보셨나요
수술하라캐요	수술하라고 해요
뼈가 다라따 그러지요	뼈가 닳았다 그러지요
예예	예예
수수라라캐	수술하라고 해
수술하라카넝 거럴 아나고	수술하라고 하는 것을 안 하고
연골주사라넝 거럴 마자 반넌대 이 아푼지가 오래돼서 그링가 별로 효꽈가 엄능 거 가태요	연골주사라는 것을 맞아 봤는데 이 아픈 지가 오래 돼서 그런가 별로 효과가 없는 거 같아요
안 되지	안 되지
하냥대 병원내 간는대  정화캉 거	한양대 병원에 갔느데  정확한 거
하냥대 병워내는	한양대 병원에는
지배로 어디 와떵가부내	집으로 어딜 왔던가보네
그 아들 지부로 와찌 사진 찌꾸	그 아들 집으로 왔지 사진 찍고
이 양바나	이 양반아
이거 여 빼두	이거 여기 빼도
삼 삼물 가라서 크자나요	삼 삼을 갈아서 크잖아요
그르치	그렇지
그럼 인재 수화칼 때 어뜨캐 수하캐요 그거	그럼 이제 수확할 때 어떻게 수확해요 그것
근대 그 사멀 일딴 가라쓰먼	그런데 그 삼을 일단 갈았으면
가마 이써요 고고	가만 있어요 그거
이재 까찌끈 커따 이거여	이게 다 컸다 이거야
그라먼 삼닙쌔길	그러면 삼잎을
삼닙쌔기를 미리 다 처내뿌린다고	삼잎을 미리 다 쳐서 내버린다고
싹 처내뻐리여 삼닙쌔길	싹 쳐 내버려 삼잎을
그라고 인재 그걸 비어 가주구	그리고 이제 그걸 베어 가지고
다발루 무꺼 가주구	다발로 묶어 가지고
큰 삼 소시라구 이따고	큰 삼솥이라고 있다고
이 또랑 까애다 그걸 거러 노코	이 도랑가에다 그걸 걸어 놓고
쩐다고 쩌	찐다고 쪄
이 사멀 쩌야	이 삼을 쪄야
도라무통애	드럼통에
쩌야 인재 소시 크다고 거기	쪄야 솥이 크다고 이제 거기
이래 머이 큰 소슬 자관 어트개 드러 소설 맹그라 가주구	이렇게 뭐 큰 솥을좌우간 어떻게 들어 솥을 만들어 가지고
아주 마니 가따 쟁깅다고 그걸	에 아주 많이 갖다 잰다고 그것을
쟁기 가주구그 삼을 쩡 거럴	재어 가지고 에 그 삼을 찐 것을
인재 그래야 또랑 가애서 해 나야	이제 그래야 도랑가에서 해 놔야
옌날 꺼 아실라고 선생님 청주서 오싱 거여	옛날 거 아시려고 선생님이 청주에서 오신 거야
그걸 인재 또랑애 가따 인재 무래 당과	그걸 이제 도랑에 갖다 이제 물에담가
당과야 인재 씨끄 씨근 다매 뻬낀다고	담가야 이제 식은 식은 다음에 벗긴다
뻬껴	벗겨
뻬끼 가주구	벗겨 가지고
인저 대공은	이제 대
그럼 그거 찔 때는 어트개 쩌요	그럼 그거 찔 때는 어떻게 쪄요
쩌넝 건 나수로	찌는 건 낫으로
나수루 비 뿌리	낫으로 베어 버려
저기 그 찌	아 저기 그 찌
나스로 비 가주 다발루 무꺼 가주구	어 낫으로 베어 가지고 다발로 묶어가지고
다발로 무꾸	다발로 묶고
그리구서 저기	그리고서 저기
인재	이제 에
삼쏘설 맹그러논 대 거러농 대다가 가따가	삼솥을 만들어 놓은데 걸어 놓은 데다가 갖다가
그 삼쏘태다가	그 삼솥에다가
싸가주구 부를 때가주 쩐다구	쌓아 가지고 불을 때가지고 찐다고
가뜩카개	가득하게
쌀마 쌀마	삶아 삶아
이 이기 소치라먼 선생님	이 이게 솥이라면 선생님
이기 소치라먼 여길 꽉 찡궈요 아마	이게 솥이라면 여기를 꽉 끼워요 아마
이개	이게
꽉 찡궈 가주구	꽉 끼워 가지고
이 이 세로루 하나요 여푸루 누우	이 세로로 하나요 옆으로 누워서
여푸루 누워서 막 찐다고	옆으로 누워서 막 찐다고
여푸루 누어서 찐다고	어 옆으로 누워서 찐다고
여푸루 아내찌	옆으로 안 했지
아이 여푸루 누어서 쩌	아니옆으로 누워서 쪄
딴따낭 걸	
요로캐 어울리지	이렇게 어울리지
그기 지무로 막 찌능 거기 때미내	그게 김으로 막 찌는 것이기 때문에
그래서 쩌자구 머 그르캐 아니야	그래서 찌자고 뭐 그렇게 안 해
그 미태다가 불 때구	그 밑에다가 불 때고
인재 그 미태	어 이제 그 밑에
이개 아주 끋 쩌 한 한 질반 이르캐	이게 아주 끝 저 한 한 길 반 이렇게
예예	예
사람 키루 질반쭘 이르캐 크니까 잘 대먼	사람 키로 길반 쯤 이렇게 크니까 잘되면
그르캐 질개 크니까	그렇게 길게 크니까
이거 새와서 할라카먼 골란하고	에 이걸 세워서 하려면 곤란하고
또 마이 제대로 모단다고	또 많이 제대로 못 한다고
그릉깨 막 둔 이래 둔너서 기냥 막 잰다고 재야	그러니까 막 드러눕 이렇게드러누어서 그냥 막 잰다고 재
이짝 저짜그로 이래 마촤서 재 가주구 가뜩 이래 싸 가주구 덥꾸 양짜갤 덥꾸막 노피 싸 가주구지멀 올리 가주 지물 딴 대로 모쌔개 하고 우로만 올라가개 해 가주 전채럴 전채럴 다 쌈넌다구	이쪽 저쪽으로 이렇게 맞춰서 재 가지고 가득 이렇게 쌓아 가지고 덮고 양쪽을 덮고 막 높이 쌓아 가지고 에 김을올려 가지고 김을 딴 데로 못 새게 하고 위로만 올라 가게 해 가지고 전체를 다삶는다고
멀루다 더퍼요 그러면	뭘로 덮어요 그러면
그 인재 더깨를 지금	그 이제 덮개를 지금 에
옌나래넌 머 그 저 끄냥	옛날에는 뭐 그 저 그냥 에
거시기 에 무슨 저 베 베그텅 거 이렁 걸로 해 가주구	거시기 에 무슨 베 배같은 걸 이런 것으로 해 가지고
그거 하넌 사람더리 인재 별또로 맹그라가주구	그거 하는 사람들이 이제 별도로만들어 가지고
이래 덤능 걸 맹그란는대	이렇게 덮는 걸 만들었는데
지그먼 조웅 기 마이 이찌	지금은 좋은 게 많이 있지
조웅 기 지끄먼 인재 푸라스티그로 맹긍 거라든지 어짜든지 머	좋은 게 지금은플라스틱으로 만든 것이라든지 어쩌든지 뭐
일방 노가빠지넝 거만 아니먼 되넌대	일방 녹아빠지는 것만 아니면 되는데
그렁 걸루 해 가주	그런 걸로 해가지고
멍석 끄틍걸로 가따 이래 우앨 더꼬	멍석 같은 것으로 갖다 이렇게 위를덮고
단다니 이르캐 더퍼 가주구	단단히 이렇게 덮어 가지고
쩌 가주구	쪄 가지고
그 또랑 까애다 가따 시쿼 가주	그 도랑가에다 갖다 식혀 가지고
인재 뻬끼 가주구	이제 벗겨 가지고
이걸 말룬다고 말려	에 이걸 말린다고 말려
그라고 저 하야캐 그 저	그리고 하얗게 그 저
삼때는 인재 가따가	삼대는 이제 갖다가
에 이런대 인재 발 발도 여꺼 가주 써 머꼬	에 이런 데 이제 발 발도 엮어가지고 써 먹고
에 지벙 집 찌먼 지벙 이넌대 거 거기두 가따 깔고	에 지붕 집 지으면 지붕이는데 그 거기에도 가져다 깔고
머 이래 둘루넌 대두 치구 머 이런 대두 써 머꼬	뭐 이렇게 두르는 데도 치고뭐 이런 데도 써 먹고
그 인재 껍띠기럴 베껴 가주구 그게 사미니	그 이제 껍데기를 벗겨 가지고 그게삼이니
그기 베 난는 사미 되넝 거지	그게 베 짜는 삼이 되는 거지
그 껍 껍띠기	그 껍 껍데기
껍띠길 베껴 가주 또	껍데기를 벗겨 가지고 또
또 재새걸 해야 그글짜기야	에 또 재색을 해야 그것을 에 째
짜개 가주구	째 가지고
인재 시럴 맹그넝 거여	이제 실을 만드는 거야
또 이서 가주구	또 이어 가지고
이래 가주 씨럴 씨럴 맹그러 가주구	이렇게 해 가지고 실을 실을 만들어 가지고
삼대를 매 인재 맹그넝 거지	어 삼대를 만 이제 만드는 거지
아 그래잉 그거	아 그러니까 그거
껍띠기가 그리잉까 인재 널 널부니까 고걸	껍데기가 그러니까 이제 넓 넓으니까 그걸
짜개야	째
짜개야	째
일리리 짜개 가주 또 글 이서	일일이 째 가지고 또 그걸 이어
이서 가주구	이어 가지고
그걸 멀루 인너냐 하먼뇨	그걸 뭘로 잇느냐 하면요
그 삼멀 다 삐끼 넝기	그 삼을 다 벗기는 게
또랑애다가 노코 흔드러머뇨	도랑에다가 놓고 흔들면요
